marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason
plati,4380086,https://plati.market/itm/4380086,Купить ChatGPT GO/PLUS/PRO ПОДПИСКА & НОВЫЙ / ВАШ АККАУНТ 1 МЕСЯЦ,ChatGPT PLUS - 1 месяц (5.5) | +1 300 ₽,Plus,1m,own_account,2099.0,True,False,
plati,4380086,https://plati.market/itm/4380086,Купить ChatGPT GO/PLUS/PRO ПОДПИСКА & НОВЫЙ / ВАШ АККАУНТ 1 МЕСЯЦ,ChatGPT PRO 5x - 1 месяц (5.5) | +9 200 ₽,Pro 5X,1m,own_account,9999.0,True,False,
plati,4380086,https://plati.market/itm/4380086,Купить ChatGPT GO/PLUS/PRO ПОДПИСКА & НОВЫЙ / ВАШ АККАУНТ 1 МЕСЯЦ,ChatGPT PRO 20x - 1 месяц (5.5) | +17 200 ₽,Pro 20X,1m,own_account,17999.0,True,False,
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PRO,Pro,1m,own_account,13237.0,True,False,
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PLUS,Plus,1m,own_account,2787.0,True,False,
plati,4371645,https://plati.market/itm/4371645,Купить 1 МЕСЯЦ ChatGPT 5.6 [GO/PLUS/PRO] БЕЗ ВХОДА ПОДПИСКА,ChatGPT PLUS - 1 месяц (5.6) | +1 100 ₽,Plus,1m,unknown,1899.0,True,False,
plati,4371645,https://plati.market/itm/4371645,Купить 1 МЕСЯЦ ChatGPT 5.6 [GO/PLUS/PRO] БЕЗ ВХОДА ПОДПИСКА,ChatGPT PRO 5x - 1 месяц (5.6) | +9 200 ₽,Pro 5X,1m,unknown,9999.0,True,False,
plati,4371645,https://plati.market/itm/4371645,Купить 1 МЕСЯЦ ChatGPT 5.6 [GO/PLUS/PRO] БЕЗ ВХОДА ПОДПИСКА,ChatGPT PRO 20x - 1 месяц (5.6) | +17 200 ₽,Pro 20X,1m,unknown,17999.0,True,False,
plati,4371645,https://plati.market/itm/4371645,Купить 1 МЕСЯЦ ChatGPT 5.6 [GO/PLUS/PRO] БЕЗ ВХОДА ПОДПИСКА,"1-) [БЕЗ ВХОДА] 7/24 АВТО доставка через токен авторизации -- (ТОЛЬКО ПЛЮС, другие руководства)",Plus,1m,own_account,17999.0,True,False,
plati,4339392,https://plati.market/itm/4339392,Купить {АВТО} ChatGPT 5.6 PLUS 1M | SORA | PRO | CODEX | ПОДПИСКА | БЕЗ ВХОДА | ПРОДЛЕНИЕ,1. {АВТО} АКТИВАЦИЯ / ПРОДЛЕНИЕ ChatGPT Plus — 1 МЕСЯЦ | НА ВАШ АККАУНТ,Plus,1m,own_account,1989.0,True,False,
plati,4339392,https://plati.market/itm/4339392,Купить {АВТО} ChatGPT 5.6 PLUS 1M | SORA | PRO | CODEX | ПОДПИСКА | БЕЗ ВХОДА | ПРОДЛЕНИЕ,2.АКТИВАЦИЯ / ПРОДЛЕНИЕ ChatGPT Pro X5 — 1 МЕСЯЦ | НА ВАШ АККАУНТ,Pro 5X,1m,own_account,11869.0,True,False,
plati,4339392,https://plati.market/itm/4339392,Купить {АВТО} ChatGPT 5.6 PLUS 1M | SORA | PRO | CODEX | ПОДПИСКА | БЕЗ ВХОДА | ПРОДЛЕНИЕ,3.АКТИВАЦИЯ / ПРОДЛЕНИЕ ChatGPT Pro X20 — 1 МЕСЯЦ | НА ВАШ АККАУНТ |,Pro 20X,1m,own_account,22869.0,True,False,
plati,4339392,https://plati.market/itm/4339392,Купить {АВТО} ChatGPT 5.6 PLUS 1M | SORA | PRO | CODEX | ПОДПИСКА | БЕЗ ВХОДА | ПРОДЛЕНИЕ,4.АКТИВАЦИЯ / ПРОДЛЕНИЕ ChatGPT Plus — 1 МЕСЯЦ | ПО ССЫЛКЕ БЕЗ ВХОДА,Plus,1m,own_account,22869.0,True,False,
plati,4339392,https://plati.market/itm/4339392,Купить {АВТО} ChatGPT 5.6 PLUS 1M | SORA | PRO | CODEX | ПОДПИСКА | БЕЗ ВХОДА | ПРОДЛЕНИЕ,5.ChatGPT Plus – Мы регистрируем аккаунт на ваш email и активируем подписку,Plus,1m,own_account,2069.0,True,False,
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PLUS 1 месяц,Plus,1m,unknown,2490.0,True,False,
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PRO x5 1 месяц,Pro 5X,1m,unknown,9990.0,True,False,
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PRO x20 1 месяц,Pro 20X,1m,unknown,19990.0,True,False,
plati,5986729,https://plati.market/itm/5986729,Купить CHAT GPT PLUS | ЛИЧНЫЙ АККАУНТ | ГАРАНТИЯ 100% | 1 МЕСЯЦ,24/7 АВТО | ChatGPT Plus НА 1 МЕСЯЦ (персональный аккаунт + почта),Plus,1m,new_account,1390.0,True,False,
plati,5972806,https://plati.market/itm/5972806,Купить АВТО | ChatGPT PLUS 5.6 | 1 месяц | GPT 5.6 + кодекс | 1 минута | 24/7,Получите готовый к использованию приватный аккаунт ChatGPT Plus — доступ на 1 месяц,Plus,1m,unknown,1830.0,True,False,
plati,6016883,https://plati.market/itm/6016883,Купить 01 Аккаунт ChatGPT PLUS | 1 месяц | GPT 5.6 + Codex | Мгновенная выдача,Готовый к использованию аккаунт ChatGPT Plus — доступ на 1 месяц,Plus,1m,new_account,2029.0,True,False,
plati,5768610,https://plati.market/itm/5768610,Купить CHATGPT PLUS | GO | 1 МЕСЯЦ | ЛЮБОЙ АККАУНТ | БЕЗ БЛОКИРОВОК | ГАРАНТИЯ | GPT 5.4,ChatGPT Plus (1 Month),Plus,1m,unknown,2974.0,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,1. 24/7 АВТО | Продление ChatGPT Plus — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,Plus,1m,own_account,2375.0,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,3. 24/7 АВТО | Продление ChatGPT PRO — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,Pro,1m,own_account,21975.0,True,False,
