marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason
plati,4696379,https://plati.market/itm/4696379,Купить MINIMAX AI M3 Token Plan subscription 1month,plus | Выбран,Plus,1m,unknown,2197.0,True,False,
plati,4696379,https://plati.market/itm/4696379,Купить MINIMAX AI M3 Token Plan subscription 1month,max | +3 210 ₽,Max,1m,unknown,5406.0,True,False,
plati,5932494,https://plati.market/itm/5932494,Купить MINIMAX AI | PLATFORM MINIMAX API | PLUS/MAX/ULTRA | 1 MONTH WARRANTY,Plus 1 Month | Выбран,Plus,1m,unknown,1664.0,True,False,
plati,5932494,https://plati.market/itm/5932494,Купить MINIMAX AI | PLATFORM MINIMAX API | PLUS/MAX/ULTRA | 1 MONTH WARRANTY,Max 1 Month | +2 937 ₽,Max,1m,unknown,4601.0,True,False,
plati,5957784,https://plati.market/itm/5957784,"Купить Подписка на тарифный план MINIMAX AI Plus/Max/Ultra на 1 месяц | ДЕШЕВО, БЫСТРО И С Г",Plus 20$ 1 Month | Выбран,Plus,1m,unknown,2535.0,True,False,
plati,5957784,https://plati.market/itm/5957784,"Купить Подписка на тарифный план MINIMAX AI Plus/Max/Ultra на 1 месяц | ДЕШЕВО, БЫСТРО И С Г",Max 50$ 1 Month | +4 056 ₽,Max,1m,unknown,6591.0,True,False,
plati,5971796,https://plati.market/itm/5971796,Купить Премиум-подписка MiniMax AI | Тарифы Plus / Max / Ultra | 1 месяц | Мгновенная достав,Plus (1 месяц) | Выбран,Plus,1m,unknown,2403.0,True,False,
plati,5971796,https://plati.market/itm/5971796,Купить Премиум-подписка MiniMax AI | Тарифы Plus / Max / Ultra | 1 месяц | Мгновенная достав,Макс (1 месяц) | +2 884 ₽,Max,1m,unknown,5286.0,True,False,
plati,5971796,https://plati.market/itm/5971796,Купить Премиум-подписка MiniMax AI | Тарифы Plus / Max / Ultra | 1 месяц | Мгновенная достав,Плюс (1 год) | +19 221 ₽,Plus,12m,unknown,21624.0,True,False,
plati,5971796,https://plati.market/itm/5971796,Купить Премиум-подписка MiniMax AI | Тарифы Plus / Max / Ultra | 1 месяц | Мгновенная достав,Макс (1 год) | +52 857 ₽,Max,12m,unknown,55260.0,True,False,
plati,5971796,https://plati.market/itm/5971796,Купить Премиум-подписка MiniMax AI | Тарифы Plus / Max / Ultra | 1 месяц | Мгновенная достав,Plus (3 месяца) | +5 767 ₽,Plus,3m,unknown,8169.0,True,False,
plati,5979972,https://plati.market/itm/5979972,Купить Премиум-доступ к MINIMAX AI | Plus / Max / Ultra | 1 месяц | Безопасный доступ | Полн,Plus (1 месяц) | Выбран,Plus,1m,unknown,2411.0,True,False,
plati,5979972,https://plati.market/itm/5979972,Купить Премиум-доступ к MINIMAX AI | Plus / Max / Ultra | 1 месяц | Безопасный доступ | Полн,Макс (1 месяц) | +2 893 ₽,Max,1m,unknown,5303.0,True,False,
plati,5979972,https://plati.market/itm/5979972,Купить Премиум-доступ к MINIMAX AI | Plus / Max / Ultra | 1 месяц | Безопасный доступ | Полн,Плюс (1 год) | +19 281 ₽,Plus,12m,unknown,21691.0,True,False,
plati,5979972,https://plati.market/itm/5979972,Купить Премиум-доступ к MINIMAX AI | Plus / Max / Ultra | 1 месяц | Безопасный доступ | Полн,Макс (1 год) | +53 021 ₽,Max,12m,unknown,55431.0,True,False,
plati,5084692,https://plati.market/itm/5084692,Купить Подписка MINIMAX AI Plan Plus/Max/Ultra 1 месяц,Plus | Выбран,Plus,1m,unknown,2973.0,True,False,
plati,5084692,https://plati.market/itm/5084692,Купить Подписка MINIMAX AI Plan Plus/Max/Ultra 1 месяц,Max | +5 753 ₽,Max,1m,unknown,8726.0,True,False,
plati,5217657,https://plati.market/itm/5217657,Купить Подписка на план MINIMAX AI M3 Token Plan на 1 месяц,Plus | Выбран,Plus,1m,unknown,3069.0,True,False,
plati,5217657,https://plati.market/itm/5217657,Купить Подписка на план MINIMAX AI M3 Token Plan на 1 месяц,Max | +4 794 ₽,Max,1m,unknown,7863.0,True,False,
ggsel,102578317,https://ggsel.net/catalog/product/102578317,"Купить (Высокие скидки)(Token Plan)MINIMAX AI, China version, подписка",Plus(1 месяц),Plus,1m,unknown,988.0,True,False,
ggsel,102578317,https://ggsel.net/catalog/product/102578317,"Купить (Высокие скидки)(Token Plan)MINIMAX AI, China version, подписка",Max(1 месяц),Max,1m,unknown,2884.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 МЕСЯЦ] PLUS | +2 600 ₽,Plus,1m,unknown,3350.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 ГОД] PLUS | +26 000 ₽,Plus,12m,unknown,26750.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 МЕСЯЦ] MAX | +6 000 ₽,Max,1m,unknown,6750.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 ГОД] MAX | +60 000 ₽,Max,12m,unknown,60750.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 МЕСЯЦ] PRO | +12 200 ₽,Pro+,1m,unknown,72950.0,True,False,
