marketplace,pid,url,title,option_text,raw_option_text,control_kind,control_dom_index,control_input_id,control_value,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason,available,availability_reason,price_changed,price_stable,price_verified,final_verified,final_observed_price
plati,5546020,https://plati.market/itm/5546020,Купить CHATGPT 6 PLUS + CODEX | 1 МЕСЯЦ | ЛИЧНЫЙ / ОБЩИЙ ДОСТУП | ПОЛНАЯ ГАРАНТИЯ,АККАУНТ CHATGPT PLUS [ ОБЩИЙ ДОСТУП ] | ГАРАНТИЯ 30 ДНЕЙ | +376 ₽,"АККАУНТ CHATGPT PLUS [ ОБЩИЙ ДОСТУП ] | ГАРАНТИЯ 30 ДНЕЙ
+376 ₽",label,3,,,Plus,1m,shared_account,475.0,True,True,Price 475.0 too low for subscription,True,,True,True,True,False,
plati,5546020,https://plati.market/itm/5546020,Купить CHATGPT 6 PLUS + CODEX | 1 МЕСЯЦ | ЛИЧНЫЙ / ОБЩИЙ ДОСТУП | ПОЛНАЯ ГАРАНТИЯ,CHATGPT PLUS | [ ЛИЧНЫЙ АККАУНТ ] | ГАРАНТИЯ 1 ДЕНЬ | +796 ₽,"CHATGPT PLUS | [ ЛИЧНЫЙ АККАУНТ ] | ГАРАНТИЯ 1 ДЕНЬ
+796 ₽",label,4,,,Plus,1m,unknown,895.0,True,False,,True,,True,True,True,False,
plati,5546020,https://plati.market/itm/5546020,Купить CHATGPT 6 PLUS + CODEX | 1 МЕСЯЦ | ЛИЧНЫЙ / ОБЩИЙ ДОСТУП | ПОЛНАЯ ГАРАНТИЯ,CHATGPT PLUS | [ ЛИЧНЫЙ АККАУНТ ] | ГАРАНТИЯ 30 ДНЕЙ | +1 736 ₽,"CHATGPT PLUS | [ ЛИЧНЫЙ АККАУНТ ] | ГАРАНТИЯ 30 ДНЕЙ
+1 736 ₽",label,5,,,Plus,1m,unknown,1835.0,True,False,,True,,True,True,True,False,
plati,5546020,https://plati.market/itm/5546020,Купить CHATGPT 6 PLUS + CODEX | 1 МЕСЯЦ | ЛИЧНЫЙ / ОБЩИЙ ДОСТУП | ПОЛНАЯ ГАРАНТИЯ,АККАУНТ CHATGPT FREE [ БЕЗ PLUS ] | EMAIL + ПАРОЛЬ & ПАРОЛЬ CHATGPT | ГОТОВ К ИСПОЛЬЗОВАНИЮ | Выбран,"АККАУНТ CHATGPT FREE [ БЕЗ PLUS ] | EMAIL + ПАРОЛЬ & ПАРОЛЬ CHATGPT | ГОТОВ К ИСПОЛЬЗОВАНИЮ
Выбран",label,2,,,Plus,1m,unknown,100.0,True,True,Price 100.0 too low for subscription,True,,True,True,True,False,
plati,5624206,https://plati.market/itm/5624206,Купить БЕЗ ВХОДА Активация/продление подписки CHATGPT GO/PLUS 6 ASTRA | CODEX | 1 МЕСЯЦ,АКТИВАЦИЯ / ПРОДЛЕНИЕ CHAT GPT PLUS 1 МЕСЯЦ | +1 396 ₽,"АКТИВАЦИЯ / ПРОДЛЕНИЕ CHAT GPT PLUS 1 МЕСЯЦ
+1 396 ₽",label,3,,,Plus,1m,own_account,2105.0,True,False,,True,,True,True,True,False,
plati,4380086,https://plati.market/itm/4380086,Купить ChatGPT GO/PLUS/PRO ПОДПИСКА & НОВЫЙ / ВАШ АККАУНТ 1 МЕСЯЦ,ChatGPT PLUS - 1 месяц (5.5) | +1 300 ₽,"ChatGPT PLUS - 1 месяц (5.5)
+1 300 ₽",label,3,,,Plus,1m,own_account,2099.0,True,False,,True,,True,True,True,False,
plati,4380086,https://plati.market/itm/4380086,Купить ChatGPT GO/PLUS/PRO ПОДПИСКА & НОВЫЙ / ВАШ АККАУНТ 1 МЕСЯЦ,ChatGPT PRO 5x - 1 месяц (5.5) | +9 800 ₽,"ChatGPT PRO 5x - 1 месяц (5.5)
+9 800 ₽",label,4,,,Pro 5X,1m,own_account,10599.0,True,False,,True,,True,True,True,False,
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PLUS,GPT PLUS,label,5,,,Plus,1m,own_account,2778.0,True,False,,True,,True,True,True,False,
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PRO,GPT PRO,label,6,,,Pro,1m,own_account,13192.0,True,False,,True,,True,True,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,1. 24/7 АВТО | Продление ChatGPT Plus — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,1. 24/7 АВТО | Продление ChatGPT Plus — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,label,2,,,Plus,1m,own_account,2375.0,True,False,,True,,True,True,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,3. 24/7 АВТО | Продление ChatGPT PRO — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,3. 24/7 АВТО | Продление ChatGPT PRO — 1 МЕСЯЦ | На Ваш аккаунт | Без входа | За минуту,label,4,,,Pro,1m,own_account,21975.0,True,False,,True,,True,True,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,4. ПРОДЛЕНИЕ ПО ССЫЛКЕ >> ChatGPT Plus — По ссылке на оплату (1 Месяц),4. ПРОДЛЕНИЕ ПО ССЫЛКЕ >> ChatGPT Plus — По ссылке на оплату (1 Месяц),label,5,,,Plus,1m,own_account,3675.0,True,False,,True,,True,True,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,5. Создать аккаунт с ChatGPT Plus 1 месяц (на Вашу почту),5. Создать аккаунт с ChatGPT Plus 1 месяц (на Вашу почту),label,6,,,Plus,1m,own_account,2675.0,True,False,,True,,True,True,True,False,
plati,3714311,https://plati.market/itm/3714311,Купить 🔥ChatGPT 5.4 | PLUS | PRO | GO | SORA | 1 МЕСЯЦЕВ,6. ChatGPT Plus 1 месяц | По логину и паролю (доп ожидание),6. ChatGPT Plus 1 месяц | По логину и паролю (доп ожидание),label,7,,,Plus,1m,own_account,1975.0,True,False,,True,,True,True,True,False,
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PLUS 1 месяц,Подписка PLUS 1 месяц,label,3,,,Plus,1m,own_account,2490.0,True,False,,True,,True,True,True,False,
